,Capital,slippage,slippagePerCap,window_rolling,Y_threshold,max_hold_period,stopLossesPercent,takePercent,shift_param,time_barrier_param,variance_ratio_lookback,variance_ration_carette,result,total_pnl
0,100000,10,0.0001,587T,60.0,95T,"{'BuyLossPercent': 0.007333333333333334, 'SellLossPercent': 0.007333333333333334}","{'SellTakePercent': 0.01, 'BuyTakePercent': 0.01}",587,95,0 days 19:34:00,0 days 00:29:21,-0.999,-600688.543252386
1,100000,10,0.0001,846T,153.33333333333331,201T,"{'BuyLossPercent': 0.012666666666666666, 'SellLossPercent': 0.012666666666666666}","{'SellTakePercent': 0.048, 'BuyTakePercent': 0.048}",846,201,1 days 04:12:00,0 days 00:42:18,-1.0003,-114673.0528476074
2,100000,10,0.0001,70T,200.0,130T,"{'BuyLossPercent': 0.018000000000000002, 'SellLossPercent': 0.018000000000000002}","{'SellTakePercent': 0.048, 'BuyTakePercent': 0.048}",70,130,0 days 02:20:00,0 days 00:14:00,-0.9709,-34801.02097379274
3,100000,10,0.0001,898T,200.0,60T,"{'BuyLossPercent': 0.002, 'SellLossPercent': 0.002}","{'SellTakePercent': 0.022666666666666665, 'BuyTakePercent': 0.022666666666666665}",898,60,1 days 05:56:00,0 days 00:44:54,-0.9998,-1204396.2145926456
4,100000,10,0.0001,380T,106.66666666666666,237T,"{'BuyLossPercent': 0.002, 'SellLossPercent': 0.002}","{'SellTakePercent': 0.035333333333333335, 'BuyTakePercent': 0.035333333333333335}",380,237,0 days 12:40:00,0 days 00:19:00,-1.0001,-1803443.116090489
5,100000,10,0.0001,484T,60.0,95T,"{'BuyLossPercent': 0.007333333333333334, 'SellLossPercent': 0.007333333333333334}","{'SellTakePercent': 0.022666666666666665, 'BuyTakePercent': 0.022666666666666665}",484,95,0 days 16:08:00,0 days 01:36:48,-0.9997,-495376.7653607976
6,100000,10,0.0001,535T,106.66666666666666,343T,"{'BuyLossPercent': 0.018000000000000002, 'SellLossPercent': 0.018000000000000002}","{'SellTakePercent': 0.01, 'BuyTakePercent': 0.01}",535,343,0 days 17:50:00,0 days 01:47:00,-0.9936,-111775.27423535811
7,100000,10,0.0001,639T,153.33333333333331,414T,"{'BuyLossPercent': 0.012666666666666666, 'SellLossPercent': 0.012666666666666666}","{'SellTakePercent': 0.01, 'BuyTakePercent': 0.01}",639,414,0 days 21:18:00,0 days 00:31:57,-0.9835,-64644.86122086079
8,100000,10,0.0001,846T,153.33333333333331,130T,"{'BuyLossPercent': 0.012666666666666666, 'SellLossPercent': 0.012666666666666666}","{'SellTakePercent': 0.035333333333333335, 'BuyTakePercent': 0.035333333333333335}",846,130,1 days 04:12:00,0 days 00:42:18,-0.9998,-121739.86461058843
9,100000,10,0.0001,484T,106.66666666666666,343T,"{'BuyLossPercent': 0.007333333333333334, 'SellLossPercent': 0.007333333333333334}","{'SellTakePercent': 0.035333333333333335, 'BuyTakePercent': 0.035333333333333335}",484,343,0 days 16:08:00,0 days 00:24:12,-0.983,-142096.47301863495
10,100000,10,0.0001,432T,200.0,450T,"{'BuyLossPercent': 0.012666666666666666, 'SellLossPercent': 0.012666666666666666}","{'SellTakePercent': 0.022666666666666665, 'BuyTakePercent': 0.022666666666666665}",432,450,0 days 14:24:00,0 days 00:21:36,-0.9597,-40342.26447232431
