,Capital,slippage,slippagePerCap,window_rolling,Y_threshold,max_hold_period,stopLossesPercent,takePercent,shift_param,time_barrier_param,result
0,100000,10,0.0001,588T,175.0,1666T,"{'BuyLossPercent': 0.004, 'SellLossPercent': 0.004}","{'SellTakePercent': 0.004, 'BuyTakePercent': 0.004}",588,1666,-0.9971
1,100000,10,0.0001,650T,325.0,1927T,"{'BuyLossPercent': 0.003, 'SellLossPercent': 0.003}","{'SellTakePercent': 0.005, 'BuyTakePercent': 0.005}",650,1927,-0.874
2,100000,10,0.0001,222T,400.0,2450T,"{'BuyLossPercent': 0.008, 'SellLossPercent': 0.008}","{'SellTakePercent': 0.004, 'BuyTakePercent': 0.004}",222,2450,-0.6766
3,100000,10,0.0001,344T,250.0,1405T,"{'BuyLossPercent': 0.009, 'SellLossPercent': 0.009}","{'SellTakePercent': 0.002, 'BuyTakePercent': 0.002}",344,1405,-0.6861
4,100000,10,0.0001,527T,100.0,1666T,"{'BuyLossPercent': 0.001, 'SellLossPercent': 0.001}","{'SellTakePercent': 0.004, 'BuyTakePercent': 0.004}",527,1666,-1.0
5,100000,10,0.0001,100T,175.0,1666T,"{'BuyLossPercent': 0.002, 'SellLossPercent': 0.002}","{'SellTakePercent': 0.009, 'BuyTakePercent': 0.009}",100,1666,-0.9954
6,100000,10,0.0001,344T,250.0,883T,"{'BuyLossPercent': 0.006, 'SellLossPercent': 0.006}","{'SellTakePercent': 0.003, 'BuyTakePercent': 0.003}",344,883,-0.8297
7,100000,10,0.0001,344T,250.0,1927T,"{'BuyLossPercent': 0.004, 'SellLossPercent': 0.004}","{'SellTakePercent': 0.003, 'BuyTakePercent': 0.003}",344,1927,-0.9678
8,100000,10,0.0001,588T,175.0,361T,"{'BuyLossPercent': 0.009999999999999998, 'SellLossPercent': 0.009999999999999998}","{'SellTakePercent': 0.005, 'BuyTakePercent': 0.005}",588,361,-0.9654
9,100000,10,0.0001,588T,400.0,622T,"{'BuyLossPercent': 0.002, 'SellLossPercent': 0.002}","{'SellTakePercent': 0.001, 'BuyTakePercent': 0.001}",588,622,-0.9473
10,100000,10,0.0001,466T,175.0,1405T,"{'BuyLossPercent': 0.012, 'SellLossPercent': 0.012}","{'SellTakePercent': 0.009, 'BuyTakePercent': 0.009}",466,1405,-0.9865
11,100000,10,0.0001,222T,175.0,1405T,"{'BuyLossPercent': 0.001, 'SellLossPercent': 0.001}","{'SellTakePercent': 0.006, 'BuyTakePercent': 0.006}",222,1405,-0.9988
12,100000,10,0.0001,588T,250.0,1144T,"{'BuyLossPercent': 0.002, 'SellLossPercent': 0.002}","{'SellTakePercent': 0.006999999999999999, 'BuyTakePercent': 0.006999999999999999}",588,1144,-0.9978
13,100000,10,0.0001,344T,325.0,1666T,"{'BuyLossPercent': 0.011, 'SellLossPercent': 0.011}","{'SellTakePercent': 0.003, 'BuyTakePercent': 0.003}",344,1666,-0.569
14,100000,10,0.0001,588T,250.0,2450T,"{'BuyLossPercent': 0.003, 'SellLossPercent': 0.003}","{'SellTakePercent': 0.009, 'BuyTakePercent': 0.009}",588,2450,-0.9989
15,100000,10,0.0001,100T,325.0,1927T,"{'BuyLossPercent': 0.004, 'SellLossPercent': 0.004}","{'SellTakePercent': 0.006999999999999999, 'BuyTakePercent': 0.006999999999999999}",100,1927,-0.8083
16,100000,10,0.0001,100T,100.0,2450T,"{'BuyLossPercent': 0.003, 'SellLossPercent': 0.003}","{'SellTakePercent': 0.008, 'BuyTakePercent': 0.008}",100,2450,-1.0007
17,100000,10,0.0001,161T,100.0,1927T,"{'BuyLossPercent': 0.003, 'SellLossPercent': 0.003}","{'SellTakePercent': 0.005, 'BuyTakePercent': 0.005}",161,1927,-0.9989
18,100000,10,0.0001,527T,100.0,1405T,"{'BuyLossPercent': 0.005, 'SellLossPercent': 0.005}","{'SellTakePercent': 0.004, 'BuyTakePercent': 0.004}",527,1405,-1.0003
19,100000,10,0.0001,650T,400.0,2450T,"{'BuyLossPercent': 0.012, 'SellLossPercent': 0.012}","{'SellTakePercent': 0.008, 'BuyTakePercent': 0.008}",650,2450,0.2032
20,100000,10,0.0001,161T,250.0,883T,"{'BuyLossPercent': 0.006, 'SellLossPercent': 0.006}","{'SellTakePercent': 0.002, 'BuyTakePercent': 0.002}",161,883,-0.8405
21,100000,10,0.0001,344T,175.0,1144T,"{'BuyLossPercent': 0.001, 'SellLossPercent': 0.001}","{'SellTakePercent': 0.005, 'BuyTakePercent': 0.005}",344,1144,-0.9997
22,100000,10,0.0001,161T,100.0,622T,"{'BuyLossPercent': 0.006, 'SellLossPercent': 0.006}","{'SellTakePercent': 0.002, 'BuyTakePercent': 0.002}",161,622,-0.9969
23,100000,10,0.0001,466T,175.0,100T,"{'BuyLossPercent': 0.009999999999999998, 'SellLossPercent': 0.009999999999999998}","{'SellTakePercent': 0.009, 'BuyTakePercent': 0.009}",466,100,-0.9794
24,100000,10,0.0001,100T,175.0,622T,"{'BuyLossPercent': 0.005, 'SellLossPercent': 0.005}","{'SellTakePercent': 0.006, 'BuyTakePercent': 0.006}",100,622,-0.9687
25,100000,10,0.0001,466T,250.0,1144T,"{'BuyLossPercent': 0.003, 'SellLossPercent': 0.003}","{'SellTakePercent': 0.005, 'BuyTakePercent': 0.005}",466,1144,-0.9963
26,100000,10,0.0001,588T,400.0,1927T,"{'BuyLossPercent': 0.004, 'SellLossPercent': 0.004}","{'SellTakePercent': 0.009999999999999998, 'BuyTakePercent': 0.009999999999999998}",588,1927,-0.7062
27,100000,10,0.0001,527T,400.0,2450T,"{'BuyLossPercent': 0.001, 'SellLossPercent': 0.001}","{'SellTakePercent': 0.001, 'BuyTakePercent': 0.001}",527,2450,-0.9987
28,100000,10,0.0001,344T,100.0,2450T,"{'BuyLossPercent': 0.011, 'SellLossPercent': 0.011}","{'SellTakePercent': 0.008, 'BuyTakePercent': 0.008}",344,2450,-0.9264
29,100000,10,0.0001,344T,325.0,2450T,"{'BuyLossPercent': 0.001, 'SellLossPercent': 0.001}","{'SellTakePercent': 0.009, 'BuyTakePercent': 0.009}",344,2450,-0.9983
