,Capital,slippage,slippagePerCap,window_rolling,Y_threshold,max_hold_period,stopLossesPercent,takePercent,shift_param,time_barrier_param,result
0,100000,10,0.0001,591T,250.0,160T,"{'BuyLossPercent': 0.001, 'SellLossPercent': 0.001}","{'SellTakePercent': 0.001, 'BuyTakePercent': 0.001}",591,160,-0.9986
1,100000,10,0.0001,650T,250.0,130T,"{'BuyLossPercent': 0.0002575, 'SellLossPercent': 0.0002575}","{'SellTakePercent': 0.000505, 'BuyTakePercent': 0.000505}",650,130,-1.0
2,100000,10,0.0001,591T,325.0,115T,"{'BuyLossPercent': 0.001, 'SellLossPercent': 0.001}","{'SellTakePercent': 0.000505, 'BuyTakePercent': 0.000505}",591,115,-0.9999
3,100000,10,0.0001,475T,250.0,100T,"{'BuyLossPercent': 0.0002575, 'SellLossPercent': 0.0002575}","{'SellTakePercent': 0.0002575, 'BuyTakePercent': 0.0002575}",475,100,-0.9999
4,100000,10,0.0001,300T,362.5,145T,"{'BuyLossPercent': 0.001, 'SellLossPercent': 0.001}","{'SellTakePercent': 0.001, 'BuyTakePercent': 0.001}",300,145,-1.0005
5,100000,10,0.0001,416T,325.0,85T,"{'BuyLossPercent': 0.000505, 'SellLossPercent': 0.000505}","{'SellTakePercent': 1e-05, 'BuyTakePercent': 1e-05}",416,85,-1.0003
6,100000,10,0.0001,300T,250.0,70T,"{'BuyLossPercent': 0.001, 'SellLossPercent': 0.001}","{'SellTakePercent': 1e-05, 'BuyTakePercent': 1e-05}",300,70,-1.0
7,100000,10,0.0001,300T,362.5,70T,"{'BuyLossPercent': 1e-05, 'SellLossPercent': 1e-05}","{'SellTakePercent': 0.001, 'BuyTakePercent': 0.001}",300,70,-0.9546
8,100000,10,0.0001,650T,325.0,160T,"{'BuyLossPercent': 0.0007525000000000001, 'SellLossPercent': 0.0007525000000000001}","{'SellTakePercent': 0.000505, 'BuyTakePercent': 0.000505}",650,160,-0.9996
9,100000,10,0.0001,358T,325.0,130T,"{'BuyLossPercent': 1e-05, 'SellLossPercent': 1e-05}","{'SellTakePercent': 1e-05, 'BuyTakePercent': 1e-05}",358,130,-1.0001
10,100000,10,0.0001,416T,250.0,100T,"{'BuyLossPercent': 0.0007525000000000001, 'SellLossPercent': 0.0007525000000000001}","{'SellTakePercent': 0.000505, 'BuyTakePercent': 0.000505}",416,100,-0.9997
