,Capital,slippage,slippagePerCap,window_rolling,Y_threshold,max_hold_period,stopLossesPercent,takePercent,shift_param,time_barrier_param,result
0,100000,10,0.0001,296T,203.33333333333331,1610T,"{'BuyLossPercent': 0.0022222222222222222, 'SellLossPercent': 0.0022222222222222222}","{'SellTakePercent': 0.001, 'BuyTakePercent': 0.001}",296,1610,-1.0001
1,100000,10,0.0001,217T,10.0,1610T,"{'BuyLossPercent': 0.001, 'SellLossPercent': 0.001}","{'SellTakePercent': 0.0022222222222222222, 'BuyTakePercent': 0.0022222222222222222}",217,1610,-1.0
2,100000,10,0.0001,453T,138.88888888888889,267T,"{'BuyLossPercent': 0.007111111111111111, 'SellLossPercent': 0.007111111111111111}","{'SellTakePercent': 0.001, 'BuyTakePercent': 0.001}",453,267,-0.9803
3,100000,10,0.0001,453T,267.77777777777777,2114T,"{'BuyLossPercent': 0.007111111111111111, 'SellLossPercent': 0.007111111111111111}","{'SellTakePercent': 0.004666666666666665, 'BuyTakePercent': 0.004666666666666665}",453,2114,-0.774
4,100000,10,0.0001,217T,138.88888888888889,603T,"{'BuyLossPercent': 0.004666666666666665, 'SellLossPercent': 0.004666666666666665}","{'SellTakePercent': 0.009555555555555553, 'BuyTakePercent': 0.009555555555555553}",217,603,-0.9958
5,100000,10,0.0001,217T,42.22222222222222,1778T,"{'BuyLossPercent': 0.0022222222222222222, 'SellLossPercent': 0.0022222222222222222}","{'SellTakePercent': 0.008333333333333331, 'BuyTakePercent': 0.008333333333333331}",217,1778,-0.9993
6,100000,10,0.0001,414T,235.55555555555554,2282T,"{'BuyLossPercent': 0.005888888888888888, 'SellLossPercent': 0.005888888888888888}","{'SellTakePercent': 0.009555555555555553, 'BuyTakePercent': 0.009555555555555553}",414,2282,-1.0065
7,100000,10,0.0001,257T,138.88888888888889,771T,"{'BuyLossPercent': 0.0022222222222222222, 'SellLossPercent': 0.0022222222222222222}","{'SellTakePercent': 0.008333333333333331, 'BuyTakePercent': 0.008333333333333331}",257,771,-0.9967
8,100000,10,0.0001,335T,10.0,939T,"{'BuyLossPercent': 0.007111111111111111, 'SellLossPercent': 0.007111111111111111}","{'SellTakePercent': 0.010777777777777777, 'BuyTakePercent': 0.010777777777777777}",335,939,-0.9995
9,100000,10,0.0001,532T,74.44444444444444,1442T,"{'BuyLossPercent': 0.0022222222222222222, 'SellLossPercent': 0.0022222222222222222}","{'SellTakePercent': 0.007111111111111111, 'BuyTakePercent': 0.007111111111111111}",532,1442,-1.0
10,100000,10,0.0001,375T,74.44444444444444,1107T,"{'BuyLossPercent': 0.007111111111111111, 'SellLossPercent': 0.007111111111111111}","{'SellTakePercent': 0.010777777777777777, 'BuyTakePercent': 0.010777777777777777}",375,1107,-1.0004
11,100000,10,0.0001,453T,171.11111111111111,603T,"{'BuyLossPercent': 0.001, 'SellLossPercent': 0.001}","{'SellTakePercent': 0.001, 'BuyTakePercent': 0.001}",453,603,-0.9998
12,100000,10,0.0001,100T,300.0,2450T,"{'BuyLossPercent': 0.007111111111111111, 'SellLossPercent': 0.007111111111111111}","{'SellTakePercent': 0.001, 'BuyTakePercent': 0.001}",100,2450,-0.4876
13,100000,10,0.0001,610T,203.33333333333331,1107T,"{'BuyLossPercent': 0.0034444444444444444, 'SellLossPercent': 0.0034444444444444444}","{'SellTakePercent': 0.008333333333333331, 'BuyTakePercent': 0.008333333333333331}",610,1107,-1.0
14,100000,10,0.0001,375T,138.88888888888889,2114T,"{'BuyLossPercent': 0.001, 'SellLossPercent': 0.001}","{'SellTakePercent': 0.005888888888888888, 'BuyTakePercent': 0.005888888888888888}",375,2114,-0.9997
15,100000,10,0.0001,139T,42.22222222222222,1778T,"{'BuyLossPercent': 0.004666666666666665, 'SellLossPercent': 0.004666666666666665}","{'SellTakePercent': 0.009555555555555553, 'BuyTakePercent': 0.009555555555555553}",139,1778,-0.9969
16,100000,10,0.0001,217T,171.11111111111111,100T,"{'BuyLossPercent': 0.012, 'SellLossPercent': 0.012}","{'SellTakePercent': 0.001, 'BuyTakePercent': 0.001}",217,100,-0.9282
17,100000,10,0.0001,532T,74.44444444444444,939T,"{'BuyLossPercent': 0.010777777777777777, 'SellLossPercent': 0.010777777777777777}","{'SellTakePercent': 0.012, 'BuyTakePercent': 0.012}",532,939,-0.9953
18,100000,10,0.0001,492T,171.11111111111111,2282T,"{'BuyLossPercent': 0.009555555555555553, 'SellLossPercent': 0.009555555555555553}","{'SellTakePercent': 0.008333333333333331, 'BuyTakePercent': 0.008333333333333331}",492,2282,-0.9625
19,100000,10,0.0001,257T,267.77777777777777,771T,"{'BuyLossPercent': 0.008333333333333331, 'SellLossPercent': 0.008333333333333331}","{'SellTakePercent': 0.005888888888888888, 'BuyTakePercent': 0.005888888888888888}",257,771,-0.7826
20,100000,10,0.0001,100T,106.66666666666666,1107T,"{'BuyLossPercent': 0.0022222222222222222, 'SellLossPercent': 0.0022222222222222222}","{'SellTakePercent': 0.004666666666666665, 'BuyTakePercent': 0.004666666666666665}",100,1107,-0.9995
21,100000,10,0.0001,532T,138.88888888888889,1442T,"{'BuyLossPercent': 0.009555555555555553, 'SellLossPercent': 0.009555555555555553}","{'SellTakePercent': 0.010777777777777777, 'BuyTakePercent': 0.010777777777777777}",532,1442,-0.9868
22,100000,10,0.0001,375T,106.66666666666666,435T,"{'BuyLossPercent': 0.004666666666666665, 'SellLossPercent': 0.004666666666666665}","{'SellTakePercent': 0.0034444444444444444, 'BuyTakePercent': 0.0034444444444444444}",375,435,-0.9991
23,100000,10,0.0001,610T,171.11111111111111,267T,"{'BuyLossPercent': 0.008333333333333331, 'SellLossPercent': 0.008333333333333331}","{'SellTakePercent': 0.004666666666666665, 'BuyTakePercent': 0.004666666666666665}",610,267,-0.9694
24,100000,10,0.0001,375T,300.0,435T,"{'BuyLossPercent': 0.008333333333333331, 'SellLossPercent': 0.008333333333333331}","{'SellTakePercent': 0.007111111111111111, 'BuyTakePercent': 0.007111111111111111}",375,435,-0.6064
25,100000,10,0.0001,257T,267.77777777777777,1778T,"{'BuyLossPercent': 0.004666666666666665, 'SellLossPercent': 0.004666666666666665}","{'SellTakePercent': 0.008333333333333331, 'BuyTakePercent': 0.008333333333333331}",257,1778,-0.9733
26,100000,10,0.0001,532T,138.88888888888889,2282T,"{'BuyLossPercent': 0.004666666666666665, 'SellLossPercent': 0.004666666666666665}","{'SellTakePercent': 0.008333333333333331, 'BuyTakePercent': 0.008333333333333331}",532,2282,-1.0007
27,100000,10,0.0001,375T,300.0,435T,"{'BuyLossPercent': 0.005888888888888888, 'SellLossPercent': 0.005888888888888888}","{'SellTakePercent': 0.0034444444444444444, 'BuyTakePercent': 0.0034444444444444444}",375,435,-0.8293
28,100000,10,0.0001,532T,42.22222222222222,2282T,"{'BuyLossPercent': 0.007111111111111111, 'SellLossPercent': 0.007111111111111111}","{'SellTakePercent': 0.004666666666666665, 'BuyTakePercent': 0.004666666666666665}",532,2282,-1.0002
29,100000,10,0.0001,139T,171.11111111111111,267T,"{'BuyLossPercent': 0.004666666666666665, 'SellLossPercent': 0.004666666666666665}","{'SellTakePercent': 0.005888888888888888, 'BuyTakePercent': 0.005888888888888888}",139,267,-0.9849
30,100000,10,0.0001,139T,300.0,1107T,"{'BuyLossPercent': 0.004666666666666665, 'SellLossPercent': 0.004666666666666665}","{'SellTakePercent': 0.008333333333333331, 'BuyTakePercent': 0.008333333333333331}",139,1107,-0.3698
31,100000,10,0.0001,178T,171.11111111111111,939T,"{'BuyLossPercent': 0.010777777777777777, 'SellLossPercent': 0.010777777777777777}","{'SellTakePercent': 0.005888888888888888, 'BuyTakePercent': 0.005888888888888888}",178,939,-0.9052
32,100000,10,0.0001,257T,10.0,435T,"{'BuyLossPercent': 0.004666666666666665, 'SellLossPercent': 0.004666666666666665}","{'SellTakePercent': 0.009555555555555553, 'BuyTakePercent': 0.009555555555555553}",257,435,-0.9998
33,100000,10,0.0001,492T,10.0,603T,"{'BuyLossPercent': 0.007111111111111111, 'SellLossPercent': 0.007111111111111111}","{'SellTakePercent': 0.004666666666666665, 'BuyTakePercent': 0.004666666666666665}",492,603,-1.0001
34,100000,10,0.0001,650T,300.0,1107T,"{'BuyLossPercent': 0.007111111111111111, 'SellLossPercent': 0.007111111111111111}","{'SellTakePercent': 0.009555555555555553, 'BuyTakePercent': 0.009555555555555553}",650,1107,0.0963
35,100000,10,0.0001,296T,171.11111111111111,435T,"{'BuyLossPercent': 0.008333333333333331, 'SellLossPercent': 0.008333333333333331}","{'SellTakePercent': 0.004666666666666665, 'BuyTakePercent': 0.004666666666666665}",296,435,-0.9727
36,100000,10,0.0001,610T,203.33333333333331,435T,"{'BuyLossPercent': 0.0034444444444444444, 'SellLossPercent': 0.0034444444444444444}","{'SellTakePercent': 0.012, 'BuyTakePercent': 0.012}",610,435,-0.9936
37,100000,10,0.0001,100T,267.77777777777777,2114T,"{'BuyLossPercent': 0.012, 'SellLossPercent': 0.012}","{'SellTakePercent': 0.0034444444444444444, 'BuyTakePercent': 0.0034444444444444444}",100,2114,-0.3895
38,100000,10,0.0001,296T,267.77777777777777,603T,"{'BuyLossPercent': 0.008333333333333331, 'SellLossPercent': 0.008333333333333331}","{'SellTakePercent': 0.008333333333333331, 'BuyTakePercent': 0.008333333333333331}",296,603,-0.5376
39,100000,10,0.0001,532T,171.11111111111111,1107T,"{'BuyLossPercent': 0.012, 'SellLossPercent': 0.012}","{'SellTakePercent': 0.009555555555555553, 'BuyTakePercent': 0.009555555555555553}",532,1107,-0.9466
