,capital,slippage,slippagePerCapital,yThreshold,rollingMean,fatRollingMean,timeBarrier,varianceRatioFilter,reverseVarianceRatioFilter,restAfterLoss,restAfterFatProfit,stopLossStdMultiplier,takeProfitStdMultiplier,varianceRatioCarreteParameter,varianceLookBack,varianceRatioCarrete,scanHalfTime,halfToFat,halfToLight,halfToTime
0,20000,2,0.0001,300.0,,,,1.0,1.0,100.0,1.0,10000.0,4050.0,40.0,,,1000,2.0,1.5,2.0
1,20000,2,0.0001,3.0,,,,1.0,1.0,100.0,1.0,100.0,40.5,40.0,,,1000,2.0,1.5,2.0
2,20000,2,0.0001,2.55,,,,1.0,1.0,100.0,1.0,110.0,40.5,48.0,,,1000,2.2,1.5,2.0
3,20000,2,0.0001,2.55,,,,1.0,1.0,100.0,1.0,110.0,40.5,48.0,,,1000,2.2,1.5,2.0
4,20000,2,0.0001,2.17,,,,1.0,1.0,100.0,1.0,121.0,40.5,57.0,,,1000,2.42,1.5,2.0
5,20000,2,0.0001,2.17,,,,1.0,1.0,100.0,1.0,121.0,40.5,57.0,,,1000,2.42,1.5,2.0
6,20000,2,0.0001,1.84,,,,1.0,1.0,100.0,1.0,133.1,40.5,68.0,,,1000,2.662,1.5,2.0
7,20000,2,0.0001,1.84,,,,1.0,1.0,100.0,1.0,133.1,40.5,68.0,,,1000,2.662,1.5,2.0
8,20000,2,0.0001,1.56,,,,1.0,1.0,100.0,1.0,146.41,40.5,81.0,,,1000,2.928,1.5,2.0
9,20000,2,0.0001,1.56,,,,1.0,1.0,100.0,1.0,146.41,40.5,81.0,,,1000,2.928,1.5,2.0
10,20000,2,0.0001,1.33,,,,1.0,1.0,100.0,1.0,161.05,40.5,97.0,,,1000,3.221,1.5,2.0
11,20000,2,0.0001,1.33,,,,1.0,1.0,100.0,1.0,161.05,40.5,97.0,,,1000,3.221,1.5,2.0
12,20000,2,0.0001,1.13,,,,1.0,1.0,100.0,1.0,177.15,40.5,116.0,,,1000,3.543,1.5,2.0
